AccX,AccY,AccZ,RawTilt,CompX,CompY,CompZ
94,-90,1058,6.97,287,226,-345
72,-65,1061,5.2,300,198,-346
13,-18,1064,1.18,320,167,-338
6,-14,1064,0.8,324,167,-338
10,-16,1062,0.96,323,169,-340
14,-18,1062,1.18,320,170,-340
10,-16,1066,0.96,323,166,-338
9,-14,1065,0.85,323,164,-339
11,-17,1063,1.7,322,164,-341
11,-18,1065,1.12,320,167,-340
9,-14,1065,0.85,323,165,-340
11,-10,1060,0.75,323,164,-336
6,-14,1067,0.8,323,167,-338
9,-11,1065,0.75,322,165,-337
7,-12,1065,0.69,324,166,-338
9,-11,1064,0.75,327,165,-337
9,-12,1065,0.8,324,164,-338
11,-13,1065,0.91,325,166,-339
12,-11,1068,0.85,325,164,-337
13,-12,1063,0.91,323,169,-341
17,-23,1065,1.5,321,169,-339
141,-38,1057,7.83,268,193,-364
102,-189,1048,11.5,278,274,-333
238,-284,1003,20.24,219,329,-332
172,-204,1042,14.28,238,281,-352
347,-221,988,22.58,169,311,-361
391,-297,941,27.58,146,351,-347
458,-302,913,31.1,109,369,-346
379,-278,956,26.2,156,337,-353
479,-288,906,31.67,104,359,-350
507,-308,886,33.82,93,374,-343
560,-288,851,36.49,56,377,-342
462,-366,885,33.68,107,400,-327
489,-286,903,32.12,98,358,-355
493,-317,890,33.39,95,374,-344
543,-296,857,35.82,61,376,-341
501,-326,878,34.24,92,384,-335
583,-288,830,38.7,41,379,-343
534,-272,876,34.39,72,347,-360
534,-268,876,34.31,75,359,-350
428,-277,935,28.6,136,344,-351
429,-277,938,28.57,125,342,-353
425,-256,950,27.6,132,343,-356
388,-267,957,26.18,151,338,-351
314,-262,988,22.44,184,323,-348
235,-170,1031,15.67,224,265,-363
205,-166,1039,14.17,238,267,-356
237,-161,1035,15.41,219,264,-364
137,-187,1048,12.39,264,274,-339
92,-85,1058,6.71,288,223,-345
66,-115,1059,7.7,297,225,-342
71,-4,1065,3.79,299,163,-352
10,-14,1069,0.9,323,167,-336
8,-12,1067,0.74,324,166,-340
11,-16,1067,1.1,321,170,-336
14,-16,1066,1.12,322,168,-336
10,-15,1061,0.96,323,165,-340
9,-14,1062,0.86,321,166,-335
8,-15,1066,0.91,323,168,-337
11,-16,1068,1.1,324,167,-339
8,-15,1065,0.91,323,169,-338
7,-10,1064,0.64,321,168,-337
8,-9,1070,0.64,322,165,-337
12,-12,1064,0.85,325,164,-338
9,-11,1066,0.75,322,165,-335
9,-13,1063,0.8,325,165,-338
8,-13,1067,0.8,322,163,-336
9,-13,1068,0.8,322,165,-337
8,-9,1064,0.64,323,166,-338
10,-16,1065,0.96,323,167,-340
17,-25,1065,1.6,322,170,-341
134,-55,1056,7.73,271,200,-362
82,-136,1061,8.43,285,236,-342
332,-314,961,25.41,165,357,-338
527,-218,896,32.5,72,318,-375
473,-320,897,32.52,100,369,-343
394,-305,942,27.89,146,353,-344
496,-300,893,33,92,367,-343
575,-338,821,39.4,44,399,-329
612,-305,806,40.26,25,384,-337
565,-354,820,39.8,47,409,-321
540,-323,854,36.38,68,374,-348
604,-294,813,39.51,36,385,-341
562,-326,830,38.3,53,384,-336
549,-294,856,36.1,67,366,-351
593,-304,817,39.18,38,388,-337
614,-265,816,39.29,32,360,-358
538,-305,861,35.68,75,372,-347
585,-275,832,37.82,37,366,-352
513,-288,882,33.73,87,366,-349
543,-284,866,35.28,64,367,-350
572,-268,846,36.74,56,365,-352
451,-281,925,29.9,122,354,-348
454,-278,920,30.7,113,354,-354
450,-227,944,28.13,117,322,-367
314,-256,990,22.25,182,323,-352
269,-222,1013,18.94,205,308,-352
169,-212,1038,14.6,249,288,-340
110,-164,1055,10.54,275,254,-345
149,-48,1054,8.38,263,192,-366
127,-25,1059,6.91,281,182,-360
20,-65,1063,3.64,318,190,-334
9,-16,1065,0.96,322,167,-337
9,-11,1066,0.75,323,166,-337
14,-14,1066,1.1,322,168,-340
12,-14,1068,0.96,320,167,-339
9,-16,1066,0.96,323,168,-339
14,-19,1066,1.23,323,168,-337
10,-15,1064,0.96,326,165,-337
9,-15,1066,0.91,323,166,-338
9,-12,1064,0.8,325,163,-337
7,-16,1066,0.91,323,163,-337
8,-14,1062,0.86,324,163,-340
12,-11,1065,0.85,324,166,-337
7,-10,1065,0.64,323,166,-337
9,-14,1068,0.85,323,165,-335
9,-12,1063,0.8,324,166,-339
10,-14,1065,0.91,326,163,-339
11,-15,1067,0.96,323,167,-338
22,-34,1064,2.14,320,172,-339
129,-90,1055,8.43,264,214,-360
186,-203,1034,14.86,242,284,-348
223,-322,997,21.41,218,340,-330
320,-281,981,23.43,177,345,-344
337,-301,966,25.4,168,351,-341
394,-309,939,28.6,138,358,-345
514,-301,874,34.27,81,373,-346
497,-292,893,32.86,97,364,-348
596,-331,809,40.6,30,401,-328
547,-319,851,36.66,59,391,-337
509,-322,875,34.56,85,385,-338
544,-311,852,36.32,59,382,-340
513,-295,880,33.92,84,369,-350
570,-310,838,37.72,53,384,-339
584,-265,840,37.35,43,357,-356
513,-307,876,34.31,85,372,-347
449,-270,929,29.41,121,347,-354
583,-256,847,36.92,44,356,-359
514,-313,870,34.66,79,389,-333
420,-279,942,28.19,137,340,-353
381,-260,969,25.46,157,331,-356
329,-213,998,21.38,183,300,-361
280,-258,1001,20.78,202,322,-343
350,-237,988,23.13,171,319,-356
263,-261,1006,20.18,206,327,-341
232,-186,1032,16.2,221,276,-358
184,-136,1044,12.28,246,262,-357
113,-89,1055,7.68,282,219,-351
80,-10,1060,4.29,299,168,-357
37,-48,1064,3.21,311,181,-343
10,-11,1067,0.74,323,165,-341
10,-13,1068,0.85,321,163,-340
9,-14,1066,0.85,324,166,-338
16,-24,1065,1.5,321,166,-341
12,-15,1067,1.1,323,165,-341
11,-11,1069,0.8,321,166,-337
11,-14,1066,0.91,323,168,-339
15,-14,1066,1.7,321,168,-339
12,-14,1066,0.96,323,168,-337
10,-11,1066,0.75,323,164,-338
10,-11,1069,0.74,325,165,-338
11,-13,1066,0.91,322,165,-341
11,-16,1065,1.1,321,166,-341
16,-17,1065,1.23,323,166,-340
9,-12,1068,0.8,320,166,-339
15,-18,1063,1.23,323,170,-341
12,-15,1067,1.1,323,167,-339
21,-20,1065,1.55,319,168,-337
41,-26,1062,2.57,311,171,-345
63,-152,1060,8.76,295,244,-333
152,-118,1053,10.29,260,233,-359
335,-227,995,22.1,169,318,-359
601,-311,814,39.69,30,390,-338
514,-342,861,35.65,74,400,-328
592,-323,814,39.62,38,401,-330
529,-295,871,34.81,76,374,-346
552,-314,844,36.97,58,384,-338
618,-319,798,41.3,21,408,-323
573,-304,837,37.75,51,380,-341
619,-332,784,41.82,19,410,-322
661,-265,779,42.41,-5,364,-352
636,-276,798,40.94,15,377,-344
523,-334,858,35.88,81,387,-337
675,-261,769,43.22,-5,370,-348
662,-272,776,42.63,4,383,-338
653,-260,794,41.45,9,368,-350
598,-308,813,39.56,29,388,-335
572,-315,834,38.7,49,386,-338
514,-304,880,34.19,88,363,-352
591,-285,828,38.38,36,380,-339
516,-284,888,33.54,87,363,-351
528,-365,841,37.32,63,420,-313
469,-272,916,30.66,107,347,-356
511,-279,890,33.22,87,359,-352
469,-275,913,30.77,107,355,-353
431,-236,948,27.41,130,330,-360
300,-224,1004,20.42,192,303,-359
299,-194,1013,19.35,196,292,-363
163,-194,1042,13.61,256,280,-343
167,-213,1044,14.46,249,288,-342
131,-130,1054,9.86,267,249,-349
145,-45,1058,8.9,269,197,-365
90,-121,1061,8.1,290,234,-342
71,-122,1061,7.54,295,232,-336
32,-57,1065,3.47,314,191,-339
38,-60,1062,3.8,306,185,-345
61,-46,1065,4.6,300,183,-348
67,-59,1062,4.77,298,188,-347
17,-145,1064,7.73,316,239,-323
66,-115,1062,7.5,291,233,-339
56,-168,1062,9.43,293,247,-334
188,-164,1042,13.4,239,254,-358
200,-219,1035,15.93,232,285,-349
261,-273,999,20.66,201,328,-342
292,-260,995,21.39,193,321,-347
376,-256,965,25.21,152,327,-357
445,-290,925,29.9,117,362,-348
523,-276,883,33.83,79,360,-353
515,-314,875,34.61,80,382,-337
534,-301,865,35.3,66,373,-345
560,-285,855,36.31,58,366,-353
606,-297,815,39.58,32,382,-341
617,-281,808,39.93,22,368,-349
623,-299,801,40.75,24,384,-340
636,-262,804,40.48,15,364,-349
624,-261,815,39.65,24,363,-354
704,-253,744,45.13,-22,369,-346
602,-297,816,39.41,38,384,-336
547,-312,853,36.41,66,386,-340
616,-309,801,40.68,23,392,-334
628,-288,800,40.74,16,376,-345
624,-300,798,40.89,18,390,-338
561,-296,851,36.71,55,373,-347
