Xcal,Ycal,Zcal
-205.1852115,-154.4263283,1008.107993
-179.8709175,-154.4484523,1010.078755
-143.8887335,-113.3743233,1019.017565
-206.1556875,-157.2937093,1007.114839
-255.8102315,-154.3885363,996.2370368
-220.7624495,-154.4141413,1005.141592
-233.4173455,-155.3613293,1001.181867
-209.0867135,-146.7768513,1007.125054
-214.9100155,-163.9803303,1002.157309
-230.4252745,-224.1934403,989.2282768
-245.1012775,-155.3503733,1001.187219
-182.7722815,-174.5189293,1009.071967
-220.7428515,-173.5331423,1002.151915
-196.4431985,-135.3131233,1014.067193
-200.3164395,-155.3859153,1009.096135
-217.8300435,-166.8418503,1006.120942
-211.0581985,-122.8768793,1010.119658
-168.1773885,-164.9727203,1011.055705
-194.4571475,-172.5979293,1007.096575
-203.2474655,-144.8690573,1009.10635
-166.2783715,-118.1324693,1019.023788
-160.3703285,-182.1873673,1008.064074
-193.5390955,-118.1101333,1015.07156
-190.6016995,-134.3635793,1013.074145
-223.6980405,-139.1181383,1005.155842
-181.8537835,-120.0319403,1016.055773
-182.8064455,-142.0150943,1016.037658
-187.6797825,-136.2763623,1015.053551
-191.5903935,-120.0228103,1016.060233
-157.5054005,-127.7005903,1017.029346
-174.0813755,-102.8335153,1017.05791
-126.3372715,-140.1539693,1018.986941
-168.2174975,-125.7788893,1017.035866
-171.1439585,-120.0411763,1017.042046
-147.8062235,-88.52073132,1017.057973
-118.6319165,-55.08765032,1025.00227
-172.1217385,-115.2619253,1016.055348
-144.9007195,-74.18280732,1021.033456
-104.0388285,-44.58399832,1028.969173
-155.6119035,-73.21693532,1021.039169
-149.7681325,-74.17985632,1019.053328
-143.9234065,-78.00703632,1021.029782
-152.6476055,-116.2360143,1016.045621
-135.1220905,-119.1142863,1022.973425
-166.3007295,-95.19176632,1020.034335
-154.5866685,-126.7450793,1020.002352
-160.4482955,-104.7579553,1017.050052
-158.5224185,-82.77490732,1018.0589
-155.5598835,-126.7449733,1019.011619
-146.8279765,-94.25500432,1019.035043
-103.0022545,-106.7202523,1020.98684
-149.7435235,-98.07880932,1015.068437
-156.5700855,-87.55668532,1017.062794
-147.7856705,-110.5039913,1018.030591
-138.0504195,-109.5564853,1019.018117
-155.5977835,-86.60096232,1018.054334
-132.2271805,-89.49036132,1018.041209
-146.8311825,-90.43249532,1018.047092
-167.2662575,-99.97645432,1012.101314
-164.3160375,-131.5199363,1014.055703
-151.6835205,-106.6778303,1017.044424
-126.3819665,-95.22677832,1022.989586
-160.4560875,-95.20208632,1014.084585
-142.8995515,-129.6243293,1019.0034
-137.1132575,-72.27845332,1021.031502
-142.9424625,-84.70036632,1019.041329
-149.7426105,-99.03463832,1015.06763
-152.6585615,-104.7660663,1016.055305
-131.2507805,-92.35876132,1018.038342
-135.1481215,-91.39605232,1022.005649
-170.1821665,-107.6163123,1017.052091
-154.5931015,-118.1458463,1016.044899
-133.2209065,-69.41542532,1020.04096
-159.4787535,-99.98053032,1016.062462
-140.0119245,-93.30798732,1016.059191
-147.8094505,-83.74400732,1014.088471
-132.2321705,-85.66462432,1021.017974
-139.0551225,-77.05738632,1019.046001
-122.5046905,-76.11546432,1021.021584
-131.2630955,-79.93217732,1019.040012
-104.9787295,-78.99454332,1026.958209
-115.6931615,-72.29773232,1022.012869
-98.18452645,-57.97027532,1029.946378
-146.8530945,-67.49259932,1018.06646
-95.27772645,-41.72634232,1026.985222
-91.34976845,-76.14064532,1025.963207
-93.29481845,-78.05128432,1024.971306
-84.52002145,-89.53106332,1022.97525
-92.36130845,-36.94993632,1026.987919
-85.51417245,-70.40953532,1027.947731
-83.57918645,-57.03056232,1026.966958
-68.96376145,-68.51339832,1027.941763
-90.38797645,-63.71578132,1025.973252
-99.15871745,-54.15169532,1023.011799
-98.17773145,-62.75345532,1024.986448
-83.53725145,-98.13605132,1020.985183
-53.36469545,-87.64862132,1022.962592
-145.8793915,-69.40194232,1022.029116
-120.5600655,-75.15823332,1024.986215
-102.0687235,-66.57311932,1024.985004
-113.7317405,-84.72937032,1017.045591
-123.4541885,-100.0126973,1018.028318
-107.9120275,-66.56522032,1027.961217
-100.0862825,-101.9430393,1021.980716
-103.0104505,-99.07200632,1022.975654
-140.0118825,-95.21641732,1020.022293
-201.3238605,-120.9735443,1011.107991
-149.7503395,-92.34141432,1018.046816
-160.4514805,-101.8896613,1018.043652
-154.5657115,-146.8207163,1016.020689
-167.2392925,-129.6047323,1015.049834
-146.7786955,-144.9155553,1017.009914
-198.3732365,-150.6094033,1008.108099
-167.2356405,-133.4280483,1015.046606
-131.2575755,-87.57558132,1022.998272
-185.7283625,-140.1023113,1014.058252
-178.9305285,-121.9471443,1015.061642
-154.5953735,-116.2333813,1017.037692
-199.3637775,-133.4027613,1009.11425
-144.8555365,-121.0192353,1020.002734
-148.7634715,-104.7705253,1015.062342
-125.4315765,-71.33115932,1024.000494
-188.6580295,-130.5420893,1013.076481
-201.2737085,-170.6814943,1005.118953
-169.2089935,-105.7079883,1014.079722
-155.5681425,-116.2340823,1015.05578
-132.1897475,-128.6793503,1018.008122
-180.8755785,-123.8577833,1014.069741
-162.4020295,-97.11111132,1015.075042
-156.5367715,-121.9673363,1016.042563
-146.8298235,-91.38913132,1017.055106
-148.7661895,-102.8572533,1017.046314
-101.0891595,-71.35559832,1022.006986
-102.0317995,-102.8986563,1019.998443
-144.8765355,-99.03516832,1020.021295
-121.5273775,-79.93969332,1021.01791
-113.7326115,-85.68197132,1021.0095
-111.7976255,-72.30299832,1020.028727
-96.21987845,-75.17863732,1027.948602
-84.55153045,-56.07785532,1022.012316
-122.5151585,-66.55475332,1024.003191
-115.6757935,-91.41269832,1023.979087
-96.23266045,-61.79703132,1027.9599
-106.9374955,-65.61353232,1023.996862
-143.9097325,-91.39025632,1019.036126
-106.9351815,-69.43442732,1026.967171
-123.4869725,-69.41971332,1025.983574
-104.9951845,-60.83540632,1024.991184
-88.44751245,-56.07178232,1024.987637
-123.4701135,-85.67122732,1022.996318
-129.3280675,-68.46163432,1022.022341
-117.6313535,-81.85419632,1022.005691
-104.0214815,-62.74474932,1028.95384
-150.7130025,-105.7188793,1022.00068
-147.7970515,-99.98745132,1021.013005
-104.0201225,-63.70138532,1027.961854
-94.27854345,-66.58203732,1022.999078
-113.7289595,-89.50528732,1021.006272
-121.5360195,-72.29064032,1023.997903
-100.1255205,-61.79660732,1023.996968
-139.9991005,-108.5980233,1020.010995
-134.1708505,-93.31185132,1018.038873
-121.5264225,-82.80395232,1024.980205
-124.4537965,-76.11041032,1024.987192
-140.0077845,-99.04054032,1019.027886
-139.9872315,-121.0238003,1020.000504
-147.7542035,-142.0487693,1015.030423
-80.63903045,-77.10571032,1026.948673
-109.8570775,-68.47585932,1026.969316
-134.1603615,-103.8267773,1017.038817
-140.9833135,-95.21953932,1015.066844
-75.78032245,-66.59696332,1025.964141
-97.20404945,-63.70858332,1026.967553
-134.1671985,-97.13516732,1018.035645
-138.0718645,-87.57161132,1020.027857
-137.0826825,-103.8216173,1020.013692
-144.8706115,-104.7709493,1019.025274
-103.0291565,-79.95461932,1023.982973
-110.8193575,-78.99148632,1023.987348
-140.0141335,-94.25816732,1022.996637
-86.49103945,-66.58611332,1026.960226
-98.15265545,-87.60743032,1021.991929
-114.7345545,-57.00457432,1023.016514
-89.42249045,-57.02266332,1029.943171
-69.93334545,-71.38239332,1024.966251
-97.20224445,-64.66602632,1024.984388
-87.46650545,-65.62775732,1028.943837
-95.24851045,-72.31287032,1026.959398
-110.8307595,-67.52073132,1024.988211
-116.6668015,-73.25103432,1023.994866
-109.8621095,-62.74169232,1025.982979
-86.49832245,-59.89369632,1028.948233
-67.03879745,-45.57452132,1028.951418
-101.0982265,-64.65995332,1027.959709
-104.9687285,-87.60023232,1022.98623
-123.4614715,-93.32028032,1020.016325
-110.8216715,-75.17059132,1021.017039
-108.8825245,-68.47838632,1024.986512
-98.16497045,-75.18084632,1022.993599
-87.43828645,-91.44159632,1020.992616
-121.5387795,-68.46893832,1022.018773
-128.2772895,-147.7987753,1018.981377
-89.41478245,-62.76167232,1024.982434
-129.2815465,-115.3004833,1018.018082
-115.6730965,-92.37175532,1020.013564
-119.5969355,-62.73579032,1022.022723
-182.8298005,-114.3017023,1009.122808
-163.3551375,-119.0934583,1016.048106
-140.9745665,-107.6396673,1021.994606
-134.1471335,-117.2091903,1016.03634
-175.9903935,-141.0680773,1013.061806
-147.7783455,-119.1048383,1020.005686
-107.8819825,-94.29071732,1020.008382
-227.5744665,-156.3226363,1001.178384
-125.4188155,-83.75855032,1022.007645
-171.0906635,-170.7089903,1006.096306
-193.5003875,-154.4388983,1006.120283
-227.5416615,-187.8698353,995.2046788
-214.8912885,-184.0519323,1003.131541
-134.1151365,-152.5716353,1019.971197
-197.4465425,-103.7706603,1013.103091
-143.9134055,-86.61272532,1017.057803
-109.8489025,-75.16989032,1022.998951
-181.8656735,-106.6519483,1014.084713
-164.3296905,-119.0909313,1018.03091
-170.1881115,-100.9263163,1016.066561
-176.9759025,-129.5956023,1015.054294
-135.1723265,-65.58947632,1021.036259
-149.7594695,-82.78312432,1018.054886
-134.1995785,-64.63456032,1021.03662
-119.5691415,-89.50303732,1017.044232
-85.49457445,-89.52853632,1024.958054
-151.6506525,-141.0876743,1017.015372
-126.3851515,-92.35848432,1023.983186
-107.9047445,-73.25763732,1025.97321
-104.0051315,-76.13281132,1021.01311
-158.5105915,-93.29225432,1014.085307
-58.26992445,-51.31851932,1027.951383
-123.4692425,-84.71862632,1019.032409
-63.12818645,-61.82807332,1027.944736
-107.9102225,-67.52266332,1025.978052
-85.49642145,-86.66266332,1022.978117
-70.93210345,-45.57329032,1025.979665
-102.0463655,-89.51382232,1023.974457
-95.24169445,-78.05026532,1023.981019
-74.82628045,-46.52466032,1026.971821
-135.1426435,-97.13102632,1022.000807
-114.7094575,-82.81276432,1022.003546
-137.0849965,-100.0007223,1017.043383
-139.9931765,-114.3338043,1019.014974
-116.6503885,-89.50174132,1021.998789
-135.1453825,-94.26353932,1022.003228
-108.8570025,-93.33316832,1021.000814
-167.2384005,-129.6063463,1013.067476
-118.5899605,-97.14735432,1021.002046
-123.4322345,-124.8610233,1021.972052
-137.0561845,-132.4948733,1021.97184
-158.4690395,-137.2595813,1015.039364
-156.5545435,-104.7599933,1019.030626
-181.7676415,-204.1553833,1003.09943
-118.5502765,-137.2945933,1017.994615
-171.1179695,-145.8509803,1014.04672
-131.1887385,-155.4467033,1014.020364
-140.9330775,-148.7443493,1017.00401
-101.0585635,-103.8529773,1022.970727
-166.2492605,-143.9479223,1009.090209
-197.3877275,-162.0818783,1006.115611
-160.4227525,-130.5669523,1015.045905
-133.1725175,-120.0743623,1019.998189
-151.6415645,-148.7375343,1013.0442
-123.4482225,-107.6569083,1020.995399
-141.9240645,-131.5369003,1019.00134
-144.8523515,-123.8875293,1019.009134
-149.6996995,-143.9586013,1015.029701
-146.8124345,-111.4583123,1021.002875
-138.9985165,-136.3187843,1018.995967
-85.48090045,-102.9117563,1022.964398
-110.8065965,-91.41887732,1021.994499
-126.3674005,-108.6116123,1019.013572
-103.0182005,-91.42456732,1023.973289
-126.3820085,-93.31834832,1019.026484
-131.2402495,-104.7821173,1021.001388
-117.6432015,-70.38263432,1023.997733
-74.80069545,-74.24208732,1028.930776
-99.14776145,-65.62164332,1023.002115
-88.42557945,-79.96589332,1026.94982
-80.62994245,-84.75557032,1022.977501
-70.92344045,-54.17655832,1024.981223
-80.67238645,-40.78662932,1024.005802
-91.35248645,-74.22737332,1027.947179
-78.69353445,-75.19587832,1026.949395
-59.25314045,-42.71272432,1030.932629
-64.11554245,-47.48972532,1027.957287
-73.82525045,-74.24622832,1024.965614
-77.72900345,-65.63850132,1026.957019
-94.28262045,-63.71212932,1025.975036
-66.04462545,-65.65026432,1025.960488
-135.1216445,-119.1150933,1021.982246
-69.93837745,-65.64822632,1023.979914
-110.7965535,-101.9329963,1021.985622
-115.6497835,-118.1767173,1022.965312
-123.4340395,-123.9035803,1023.955217
-141.8980755,-157.3467043,1016.006014
-123.4057785,-151.6258493,1019.967098
-136.0693375,-143.9697693,1017.005815
-137.9924545,-169.7745193,1017.976097
-179.8832115,-142.9760833,1013.061976
-157.4912595,-142.0388323,1016.026062
-135.1084375,-131.5432913,1018.998218
-170.1078515,-181.2224083,1008.069341
-220.7278395,-186.9187833,997.1847218
-209.0169845,-214.6495873,996.1647878
-171.0792405,-183.1339603,1007.076994
-227.5266285,-202.2096913,992.2190368
-210.9520125,-226.1201303,993.1824588
-206.1188055,-191.7108163,998.1651758
-208.0519655,-207.0014473,999.1443348
-212.9307805,-195.5277413,998.1650698
-190.5684275,-166.8658003,1008.090812
-172.9718875,-235.7107993,997.1217108
-168.1746705,-166.8859923,1009.071733
-177.8757155,-202.2457633,1005.081618
-180.8368285,-162.0949783,1009.081566
-191.5475665,-161.1299133,1008.0961
-140.9700225,-111.4645973,1020.00902
-157.4666505,-165.9377853,1012.041171
-156.5203375,-139.1722583,1016.028037
-157.4771395,-155.4228593,1013.041227
-155.5444045,-141.0856363,1015.034798
-157.5405615,-90.42406632,1016.06964
-158.4726915,-133.4362653,1015.042592
-135.1193725,-121.0275583,1020.989453
-151.6666195,-124.8377743,1018.02027
-161.4045885,-123.8720083,1019.016716
-145.8182625,-131.5340553,1018.011945
-131.2466405,-98.09131432,1021.007037
-123.4673955,-87.58449932,1021.012346
-89.42620545,-50.33670232,1024.001746
-90.39438845,-56.07076332,1023.99735
-119.5727725,-86.63393632,1019.029011
-91.36528945,-59.89155232,1025.976926
-111.7852685,-86.63801232,1022.990159
-93.27386145,-98.12692132,1020.989643
-105.9405845,-88.55676232,1021.003511
-110.8189325,-78.03807832,1021.014618
-100.0634365,-126.7929793,1023.942092
-108.8460255,-105.7573313,1022.972681
-110.7965745,-100.9787813,1020.004071
-117.6162995,-97.14826732,1021.0016
-130.2309815,-142.0603613,1020.969469
-125.3681545,-136.3299523,1020.972081
-125.3763715,-127.7274913,1020.979344
-112.7269955,-119.1368993,1020.980809
-137.9715185,-188.8959413,1012.012883
-139.9717315,-136.3186783,1018.005234
-145.7913815,-157.3454733,1013.034261
-166.2141205,-180.2702313,1008.068364
-161.3544785,-171.6715283,1009.064576
-200.3164605,-154.4317003,1007.114584
-192.5102925,-171.6447333,1006.105311
-195.3806985,-220.3965363,997.1448808
-163.2908655,-182.1854353,1007.074233
-176.8833905,-219.4556333,1000.110751
-236.3141655,-179.2567363,998.1894928
-202.2031835,-212.7443203,996.1632798
-207.0901525,-195.5307983,1001.135931
-236.2367705,-250.9600513,978.3053878
-224.5987875,-209.8582553,993.2024218
-173.9501345,-229.9765263,995.1446408
-185.6632195,-202.2416873,1001.12047
-178.8894855,-163.0510193,1011.062225
-176.9002915,-201.2956893,999.1349048
-169.1351245,-179.3132773,1006.088151
-216.8413915,-179.2741893,999.1717518
-174.9588725,-196.5159493,1002.111585
-175.9867415,-144.8913933,1013.058578
-163.2949425,-179.3155273,1010.050191
-144.8131555,-162.1255313,1013.02978
-154.5775805,-134.3949393,1016.03118
-139.9731115,-134.4078273,1017.015669
-149.7352855,-107.6354853,1017.042725
-123.4441455,-110.5268163,1018.019441
-103.0323625,-76.13211032,1022.995022
-95.24534645,-74.22694932,1023.984247
-77.74131845,-53.21191732,1027.958689
-95.25354245,-66.57870332,1025.973061
-67.03559145,-49.39703032,1029.939369
-79.67494545,-67.54752632,1027.947476
-87.46198245,-68.49847232,1024.9767
-65.07368245,-63.73790532,1027.944014
-61.18043945,-60.87649132,1024.971114
-69.92922645,-76.16073132,1025.953395
-59.22670545,-68.52333532,1026.946124
-55.34117045,-59.92291232,1028.933961
-83.55589445,-81.88130932,1027.937155
-76.73984245,-80.93429232,1024.961303
-72.83785245,-90.49300632,1028.916165
-65.05909545,-78.07695432,1025.949551
-55.30743145,-93.38015532,1024.941
-101.0398155,-124.8787943,1025.92651
-114.6729585,-120.0917093,1019.989715
-117.5684405,-143.9895373,1014.023804
-141.8980965,-156.3924893,1014.024463
-139.9566775,-151.6127493,1017.001143
-175.9676105,-163.0553723,1009.078529
-158.3970595,-206.0905673,1001.104754
-193.4652685,-189.8069923,1003.116887
-147.7090415,-187.9309823,1012.01815
-180.7880775,-208.9378623,1000.121412
-201.1944875,-244.2964673,985.2332338
-215.7607155,-279.6573223,974.3070958
-264.5281025,-196.4456723,985.3025738
-173.9587555,-223.2816883,1000.106185
-241.1264785,-230.8790423,983.2804598
-241.0795955,-273.9018383,970.3588178
-260.5810555,-247.1155243,976.3374078
-267.3812455,-259.5413663,968.4006068
-241.1369465,-221.3183313,986.2620668
-234.2953515,-246.1803113,981.2820678
-223.6187565,-215.5957563,991.2147758
-206.0987405,-211.7848393,996.1658708
-251.8135415,-251.9028863,976.3293588
-189.6079945,-153.4843003,1009.092843
-265.4821445,-216.5179753,984.2948938
-163.3414635,-132.4766783,1014.05445
-227.5393265,-192.6449453,1000.156539
-211.0057745,-174.4972943,1003.137827
-186.6733375,-166.8702593,1007.097849
-175.9366315,-192.6909133,1003.106438
-179.8481135,-177.3899623,1008.077029
-156.5189575,-141.0831093,1017.017602
-166.2359905,-159.2387653,1012.050834
-160.4464905,-105.7153983,1015.066887
-124.4232215,-107.6535743,1023.969382
-114.6989685,-93.32769032,1021.00349
-125.3950985,-107.6558893,1020.005112
-119.5864465,-73.25071632,1021.022667
-126.3806075,-96.18341432,1021.9976
-116.6576925,-81.85510932,1022.005245
-122.4846045,-97.14370232,1021.00383
-92.34349445,-56.06570932,1027.962958
-105.9383125,-90.46922732,1020.010718
-128.3302225,-93.31490832,1021.009734
-145.8506845,-97.12501832,1017.049818
-118.6227865,-64.64594032,1024.9942
-140.9540555,-127.7144973,1019.004122
-155.5357415,-149.6889043,1014.036356
-131.1750225,-170.7383533,1015.98981
-189.5979515,-163.9984193,1009.083966
-179.9092215,-116.2120643,1014.075751
-123.4528085,-101.9235483,1019.017883
-201.2518385,-191.7129603,1001.136483
-150.7061865,-111.4562743,1019.022301
-209.0434195,-188.8389763,1000.151293
-213.9067345,-192.6601483,997.1767578
-176.9412715,-163.0544593,1009.078975
-189.6353215,-127.6720753,1015.061706
-216.8732835,-148.6828193,1005.14465
-172.0948365,-142.0275583,1013.059215
-266.4835995,-189.7498153,989.2738308
-217.8419125,-154.4160733,1006.131433
-216.8869785,-134.3453843,1005.156755
-205.0991325,-235.6871263,989.2069968
-178.8890395,-163.0518263,1010.071046
-240.1814825,-205.0653093,992.2224138
-212.9626935,-163.9821563,1002.156417
-202.2414665,-175.4621473,1002.141827
-245.0825715,-174.4677603,1000.1799
-236.3497305,-143.8878353,1002.184068
-210.0344065,-171.6315273,1002.148623
-207.1161205,-170.6752093,1006.112808
-226.5707185,-185.9574763,997.1882048
-201.2955995,-148.6958133,1007.119872
-173.0894755,-120.9967933,1015.059773
-185.7037535,-164.0012643,1010.073361
-164.3274395,-120.0491813,1015.056566
-177.9637465,-113.3480173,1012.094922
-212.9850095,-142.9498833,1007.130066
-150.6961435,-121.9703933,1019.013424
-149.7234165,-120.0612623,1017.032234
-159.4709825,-108.5821843,1017.046378
-134.1685365,-97.13274632,1021.009182
-180.8984035,-99.96205832,1014.089916
-166.2911955,-102.8424333,1015.071984
-122.5000835,-82.80303932,1024.980651
-138.0846255,-75.14422032,1022.020706
-103.0414925,-66.57382032,1023.003092
-100.1286845,-59.88252832,1026.972119
-122.4928215,-88.54124132,1021.011093
-81.63823445,-51.29580032,1028.953266
-104.9942505,-62.74545032,1026.971928
-128.3548525,-68.46174032,1023.013074
-79.68914945,-50.34663932,1023.006107
-95.26768345,-52.24046132,1026.976345
-130.2939575,-77.06237532,1023.006703
-158.4977675,-108.5822903,1018.037111
-118.5954385,-91.41238032,1021.006888
