datetime,xa_raw,ya_raw,za_raw,xa_cal,ya_cal,za_cal,xm_raw,ym_raw,zm_raw,xm_cal,ym_cal,zm_cal
12/31/2014 7:15,1793,513,16386,1110,-254,16385,1117,-358,-695,1117,-358,-695
12/31/2014 7:30,1539,512,16387,1452,-83,16386,1121,-356,-695,1121,-356,-695
12/31/2014 7:45,1794,771,16386,1708,259,16385,1116,-367,-691,1116,-367,-691
12/31/2014 8:00,2307,769,16387,1793,343,16386,1089,-382,-683,1089,-382,-683
12/31/2014 8:15,1538,1026,16387,1196,342,16386,1107,-314,-729,1107,-314,-729
12/31/2014 8:30,1794,257,16387,1623,1,16386,1128,-350,-698,1128,-350,-698
12/31/2014 8:45,2051,258,16386,1880,-83,16385,1112,-358,-696,1112,-358,-696
12/31/2014 9:00,2051,1283,16386,1538,257,16386,1139,-333,-709,1139,-333,-709
12/31/2014 9:15,2304,2562,16386,1793,1026,16300,1108,-342,-711,1108,-342,-711
12/31/2014 9:30,1537,1795,16386,1366,173,16385,1107,-367,-692,1107,-367,-692
12/31/2014 9:45,1795,1,16387,1537,-84,16386,1113,-355,-702,1113,-355,-702
12/31/2014 10:00,1537,770,16386,1282,-340,16385,1112,-329,-718,1112,-329,-718
12/31/2014 10:15,1283,2,16387,1025,-936,16386,1134,-364,-690,1134,-364,-690
12/31/2014 10:30,2307,1282,16386,2050,599,16384,1119,-353,-701,1119,-353,-701
12/31/2014 10:45,1282,2,16386,769,-766,16386,1113,-378,-684,1113,-378,-684
12/31/2014 11:00,2304,513,16387,1707,-168,16386,1117,-358,-698,1117,-358,-698
12/31/2014 11:15,2304,1027,16387,1793,599,16386,1129,-343,-707,1129,-343,-707
12/31/2014 11:30,1795,0,16385,1026,-1193,16384,1088,-297,-743,1088,-297,-743
12/31/2014 11:45,1792,-509,16387,1537,-681,16386,1141,-327,-713,1141,-327,-713
12/31/2014 12:00,1282,1280,16386,1111,599,16386,1135,-303,-728,1135,-303,-728
12/31/2014 12:15,1793,1792,16387,1623,513,16386,1130,-324,-720,1130,-324,-720
12/31/2014 12:30,1536,-253,16385,854,-935,16385,1110,-376,-684,1110,-376,-684
