xa,ya,za,xm,ym,zm
-227.6141295,-117.1296123,1006.167366,30258.42139,11732.009,-22423.7838
-204.2452895,-120.9699983,1012.100508,29433.83726,12048.29607,-23606.36191
-166.2738275,-121.9573993,1017.038202,28607.49919,11880.91349,-24517.36804
-176.9786415,-126.7281153,1015.056715,28857.90734,12205.02021,-24244.40033
-212.0117945,-142.9499893,1008.120799,29288.97525,13173.61913,-22796.37633
-158.4717575,-135.3463093,1017.023336,28363.87912,12201.1481,-24700.79448
-158.4927145,-115.2706723,1021.004999,28200.38096,12361.00708,-24883.23156
-170.1666245,-124.8196203,1019.019923,29008.54076,11320.92529,-24693.37094
-201.2951325,-149.6508353,1008.110244,29367.01211,13174.79763,-23156.8933
-171.1781855,-84.67469632,1018.063084,29076.2558,10194.31342,-25052.5121
-170.1561355,-135.3345463,1018.019867,28859.96653,12527.35633,-24335.12087
-186.6920435,-147.7528723,1008.105168,28711.11291,13411.23065,-23705.49536
-140.9924015,-87.56967932,1019.038016,28174.37208,10589.97845,-25874.6715
-180.8892525,-110.4745633,1016.063397,29336.85899,11242.987,-24419.11905
-154.5702345,-143.9500013,1019.987826,28611.7702,12444.91898,-24608.3834
-186.6765015,-164.9561803,1010.073,28878.01803,13331.59721,-23252.17421
-150.6906655,-127.7053673,1019.008582,28680.80716,11560.08678,-25058.14682
-141.9546605,-99.03952132,1018.037599,28013.97564,10991.39648,-25967.07595
-128.3384605,-83.75823232,1019.035446,28078.58897,9623.225557,-26416.24974
-164.3059945,-142.0340553,1014.046826,28291.30842,12602.53127,-24160.11397
-164.3159955,-133.4283663,1018.018805,28608.97373,12042.0264,-24517.56459
-133.1981025,-92.35693532,1018.039234,28006.29766,10347.16546,-26146.94467
-176.0310115,-99.01079432,1014.088493,29249.94901,10759.02131,-24509.64968
-143.9087985,-93.30030032,1021.01687,28420.20397,10511.4132,-25691.53988
-156.5381095,-121.9649153,1019.0161,28604.67687,11961.91117,-24878.77611
-149.7370905,-106.6780423,1019.02589,28182.66056,10911.54243,-25333.0999
-143.8901135,-111.4634723,1018.028,28346.59074,10993.57343,-25331.61254
-143.9065475,-94.25855032,1018.042526,28172.89754,10428.86554,-25874.47496
-165.3289155,-92.32680632,1018.053952,28917.48653,10676.1776,-25054.68737
-153.6326475,-105.7185613,1019.028481,28356.20114,11556.91708,-24880.6632
-166.2619375,-135.3373913,1019.009262,28612.96535,12283.47515,-24337.20451
-173.0862695,-124.8193023,1016.047724,29094.12882,11563.11131,-24512.21804
-153.6066165,-133.4367953,1019.996257,27959.15119,12358.35404,-24524.30022
-156.5522715,-106.6724583,1018.037833,28436.75507,11638.43142,-25060.62355
-193.5208565,-136.2724983,1013.073869,29359.18151,12611.23336,-23427.18774
-176.0081865,-122.9065193,1014.068318,29020.21035,12206.60506,-24333.14214
-175.0162655,-142.0240123,1014.051732,28781.19239,12445.62138,-23974.50562
-182.8114565,-137.2351423,1017.032872,29027.60893,12528.27935,-23881.89799
-188.6543565,-135.3196203,1015.054804,29269.75445,12046.93183,-23698.275
-214.9364295,-139.1239343,1008.125365,29774.13034,12694.70404,-22791.02978
-201.2846225,-161.1199763,1009.091739,29367.90201,13174.68732,-23066.56586
-189.6298855,-131.4986193,1011.093762,29268.71193,12127.70889,-23879.02817
-162.3404335,-160.1982463,1012.048243,28303.86791,13488.10074,-23709.55773
-177.9454445,-134.3730273,1016.041884,29024.50721,12286.72029,-23971.93062
-214.8867445,-187.8768623,1001.145955,29639.8954,14786.48394,-21801.56857
-182.7914335,-155.4007353,1011.070465,28872.98389,13170.92552,-23613.28746
-222.6651395,-196.4768613,995.1951858,29726.37337,15028.55966,-21530.08822
-232.4318155,-167.7880193,1001.17093,30123.14392,13904.56597,-21615.07576
-216.8472735,-175.4468383,1004.130875,29544.41753,13658.39753,-22162.29537
-181.8113815,-162.0924513,1011.06437,28871.50935,13009.81261,-23613.09091
-169.1360165,-179.3116633,1008.070509,28718.20624,13894.23845,-23435.10265
-165.2386335,-182.1828023,1008.066304,28635.28786,13651.72151,-23345.2732
-185.6973625,-170.6920673,1010.067712,29126.64638,13655.92454,-23159.8614
-194.4781255,-151.5680773,1009.096687,29275.80526,12610.7167,-23608.63546
-194.4493765,-181.1995833,1008.080491,29049.34679,13735.30249,-22799.44269
-222.6619125,-201.2535853,998.1646878,29640.20065,14625.15042,-21620.71713
-155.5489485,-137.2607063,1017.020384,28286.12165,12522.52634,-24611.65294
-215.8904715,-159.1962373,1007.117685,29701.10176,13338.08748,-22521.62643
-215.9055465,-142.9479513,1006.140225,29377.20716,13899.36449,-22796.46796
-211.9794355,-174.4963813,1003.138273,29788.5964,13983.27639,-22521.6198
-184.7382885,-156.3539313,1012.061729,29036.02418,13253.06683,-23702.12754
-167.2388255,-130.5597543,1016.040206,28449.92506,12201.33385,-24248.36442
-232.4728375,-127.6383593,1007.151898,30585.39185,11896.1813,-22511.13653
-177.9413465,-138.1971503,1015.047477,28942.75813,12366.64978,-24063.14916
-148.7251045,-145.8695583,1017.009999,28203.48268,12602.56614,-24793.19893
-173.0744425,-135.3366493,1012.074131,28783.09896,12848.62427,-24155.65188
-176.9603815,-145.8446953,1015.040575,28948.96156,12849.76789,-23883.0839
-133.1720505,-121.0293843,1020.988561,27697.20022,11551.79104,-25519.29789
-158.4909305,-115.2739003,1017.040283,28280.50287,12200.63144,-24882.2422
-166.2505355,-146.8081463,1018.008399,28783.09896,12848.62427,-24155.65188
-175.0153735,-142.0256263,1012.069374,28624.78756,13088.48817,-23886.54999
-166.2829995,-110.4906793,1013.08317,29010.59995,11643.26141,-24784.09148
-179.9138075,-110.4787043,1012.098235,29330.96081,10598.53537,-24418.33286
-141.9322605,-123.8886543,1020.990154,27949.23554,11956.34391,-25156.101
-142.9534185,-73.23041832,1019.051013,28490.56285,9868.360672,-26231.92557
-149.7393835,-103.8113623,1018.037132,28588.86304,10915.4494,-25509.79071
-133.1442145,-149.7050613,1019.973172,27792.67808,12679.87745,-25158.57109
-143.9079065,-93.30191432,1019.034512,28496.63951,9948.25529,-25690.05915
-165.2933295,-128.6499223,1016.040928,28366.39619,12281.48395,-24520.23786
-176.9805305,-121.9538123,1009.113676,28776.46351,12123.61618,-24154.76743
-197.4205115,-131.4888943,1014.070867,29278.32233,12691.05255,-23428.07883
-143.9147015,-88.51873432,1023.994442,28501.06315,10431.59402,-25690.64879
-211.0271775,-154.4208503,1008.110669,29698.00004,13096.52843,-22611.65907
-196.4363825,-141.0505183,1011.088814,29035.43953,13091.84361,-23611.60355
-205.1852115,-154.4263283,1008.107993,29368.79191,13174.57701,-22976.23841
-179.8709175,-154.4484523,1010.078755,29115.86669,12770.13445,-23429.76274
-143.8887335,-113.3743233,1019.017565,28666.18848,10352.18119,-25417.98253
-206.1556875,-157.2937093,1007.114839,29374.41069,13496.47191,-22705.64915
-255.8102315,-154.3885363,996.2370368,30527.74508,13344.13654,-21429.76887
-220.7624495,-154.4141413,1005.141592,29541.90047,13578.06169,-22342.85199
-233.4173455,-155.3613293,1001.181867,30115.00807,13502.33523,-22066.22164
-209.0867135,-146.7768513,1007.125054,29529.03573,12853.82574,-22974.25968
-214.9100155,-163.9803303,1002.157309,29944.41658,13179.18639,-22519.05143
-230.4252745,-224.1934403,989.2282768,29974.87495,14949.6635,-21075.97425
-245.1012775,-155.3503733,1001.187219,29878.93921,14063.57737,-21707.97821
-182.7722815,-174.5189293,1009.071967,28633.66069,13571.27536,-23435.50238
-220.7428515,-173.5331423,1002.151915,29957.86597,14064.64556,-21978.16774
-196.4431985,-135.3131233,1014.067193,29196.8785,12609.64851,-23338.44593
-200.3164395,-155.3859153,1009.096135,29448.76119,13094.86814,-23065.67477
-217.8300435,-166.8418503,1006.120942,29541.90047,13578.06169,-22342.85199
-211.0581985,-122.8768793,1010.119658,29846.42165,11970.76414,-23060.33486
-168.1773885,-164.9727203,1011.055705,28709.48573,13330.7845,-23795.72454
-194.4571475,-172.5979293,1007.096575,29534.19663,13417.72092,-22974.94759
-203.2474655,-144.8690573,1009.10635,29686.76248,12452.73863,-23152.83758
-166.2783715,-118.1324693,1019.023788,28605.71939,11881.1341,-24698.02294
-160.3703285,-182.1873673,1008.064074,28543.77576,13248.97411,-23977.8668
-193.5390955,-118.1101333,1015.07156,29505.39129,11243.79971,-23875.56871
-190.6016995,-134.3635793,1013.074145,29193.31891,12610.08974,-23699.75573
-223.6980405,-139.1181383,1005.155842,29783.43549,13419.38121,-22520.93189
-181.8537835,-120.0319403,1016.055773,29340.54536,11645.76928,-24419.61041
-182.8064455,-142.0150943,1016.037658,28869.29753,12768.14325,-23612.7961
-187.6797825,-136.2763623,1015.053551,28785.33663,12606.40337,-23703.71982
-191.5903935,-120.0228103,1016.060233,29190.06456,12449.19744,-23880.21408
-157.5054005,-127.7005903,1017.029346,29164.94558,10678.0585,-24781.32657
-174.0813755,-102.8335153,1017.05791,28927.09693,11239.52125,-24603.73803
-126.3372715,-140.1539693,1018.986941,27457.72439,12032.80764,-25431.93853
-168.2174975,-125.7788893,1017.035866,28780.3025,12445.73169,-24064.83307
-171.1439585,-120.0411763,1017.042046,28686.42595,11881.98168,-24787.55757
-147.8062235,-88.52073132,1017.057973,28661.61222,9949.509223,-25507.81861
-118.6319165,-55.08765032,1025.00227,27901.94667,8736.291848,-26958.71907
-172.1217385,-115.2619253,1016.055348,28769.21755,11721.27513,-24515.58586
-144.9007195,-74.18280732,1021.033456,28659.24778,9788.50662,-25597.94952
-104.0388285,-44.58399832,1028.969173,27725.88902,8010.581354,-27591.7124
-155.6119035,-73.21693532,1021.039169,28580.16839,9868.105189,-25418.18571
-149.7681325,-74.17985632,1019.053328,28655.10354,9627.724629,-25868.73532
-143.9234065,-78.00703632,1021.029782,28576.30355,10029.87994,-25960.34695
-152.6476055,-116.2360143,1016.045621,28437.64497,11638.32111,-24970.2961
-135.1220905,-119.1142863,1022.973425,28024.47594,11554.62983,-25425.79917
-166.3007295,-95.19176632,1020.034335,29239.14346,10357.12149,-25231.7779
-154.5866685,-126.7450793,1020.002352,28281.69802,12039.18762,-24611.06331
-160.4482955,-104.7579553,1017.050052,28755.61554,10916.48273,-25146.89527
-158.5224185,-82.77490732,1018.0589,28825.84765,9870.206701,-25325.47981
-155.5598835,-126.7449733,1019.011619,28360.62478,12040.25581,-24881.25284
-146.8279765,-94.25500432,1019.035043,28662.78151,10271.95565,-25688.8666
-103.0022545,-106.7202523,1020.98684,27195.92605,11145.57789,-26336.51047
-149.7435235,-98.07880932,1015.068437,28588.27839,10754.22619,-25419.26671
-156.5700855,-87.55668532,1017.062794,28753.25109,10755.48012,-25237.02618
-147.7856705,-110.5039913,1018.030591,28347.60741,11396.68662,-25603.08625
-138.0504195,-109.5564853,1019.018117,28022.11149,11393.62722,-25515.93007
-155.5977835,-86.60096232,1018.054334,28824.95775,9870.317008,-25415.80726
-132.2271805,-89.49036132,1018.041209,28164.32966,9784.74482,-26144.67112
-146.8311825,-90.43249532,1018.047092,28583.5495,10432.22098,-25599.52852
-167.2662575,-99.97645432,1012.101314,29080.09479,10516.42893,-24962.57774
-164.3160375,-131.5199363,1014.055703,28769.21755,11721.27513,-24515.58586
-151.6835205,-106.6778303,1017.044424,28751.77655,10594.36721,-25236.82963
-126.3819665,-95.22677832,1022.989586,28331.20893,10189.00164,-26143.57685
-160.4560875,-95.20208632,1014.084585,28993.76945,10193.68645,-25143.63236
-142.8995515,-129.6243293,1019.0034,28197.12662,12200.11478,-25063.68992
-137.1132575,-72.27845332,1021.031502,28410.59357,9948.069547,-26142.48921
-142.9424625,-84.70036632,1019.041329,28497.80881,10270.70172,-25871.10714
-149.7426105,-99.03463832,1015.06763,28103.27592,11152.47452,-25334.18754
-152.6585615,-104.7660663,1016.055305,28508.30911,10833.93507,-25329.83035
-131.2507805,-92.35876132,1018.038342,28485.55457,9223.798729,-26140.81194
-135.1481215,-91.39605232,1022.005649,28008.07746,10346.94484,-25966.28977
-170.1821665,-107.6163123,1017.052091,29164.05569,10678.16881,-24871.65402
-154.5931015,-118.1458463,1016.044899,28357.09104,11556.80677,-24790.33575
-133.2209065,-69.41542532,1020.04096,28241.0446,9544.143648,-26414.56583
-159.4787535,-99.98053032,1016.062462,28839.57644,11078.2226,-25055.97155
-140.0119245,-93.30798732,1016.059191,28334.76853,10188.56041,-25782.26705
-147.8094505,-83.74400732,1014.088471,28825.23715,10192.87374,-25687.18269
-132.2321705,-85.66462432,1021.017974,28166.6941,9945.747423,-26054.54022
-139.0551225,-77.05738632,1019.046001,28570.40537,9385.428299,-25959.56077
-122.5046905,-76.11546432,1021.021584,27838.80789,10265.57568,-26509.74183
-131.2630955,-79.93217732,1019.040012,28169.49057,10348.64,-26145.35903
-104.9787295,-78.99454332,1026.958209,27263.48847,10099.63278,-26786.07736
-115.6931615,-72.29773232,1022.012869,27669.1063,9942.316542,-26872.24417
-98.18452645,-57.97027532,1029.946378,27166.81545,9132.990197,-27417.98304
-146.8530945,-67.49259932,1018.06646,28493.07992,9948.696514,-26051.36895
-95.27772645,-41.72634232,1026.985222,27318.64402,8087.451445,-27595.77476
-91.34976845,-76.14064532,1025.963207,27333.11008,9376.0238,-27326.36478
-93.29481845,-78.05128432,1024.971306,27168.44262,9213.436345,-27327.75387
-84.52002145,-89.53106332,1022.97525,26771.67207,10337.43004,-27242.76633
-92.36130845,-36.94993632,1026.987919,27561.95884,7928.550354,-27593.19976
-85.51417245,-70.40953532,1027.947731,26758.68055,9209.970594,-27512.37286
-83.57918645,-57.03056232,1026.966958,26673.67713,9129.007785,-27784.04975
-68.96376145,-68.51339832,1027.941763,26265.54224,9205.988182,-27878.43956
-90.38797645,-63.71578132,1025.973252,27167.55273,9213.546651,-27418.08132
-99.15871745,-54.15169532,1023.011799,27489.20966,8894.490536,-27595.17185
-98.17773145,-62.75345532,1024.986448,28288.36955,6968.398048,-27494.55767
-83.53725145,-98.13605132,1020.985183,26612.47077,10577.40424,-27063.99188
-53.36469545,-87.64862132,1022.962592,26107.78963,10090.96555,-28152.08854
-145.8793915,-69.40194232,1022.029116,28651.8492,9466.832332,-26049.19367
-120.5600655,-75.15823332,1024.986215,27831.00314,9218.12116,-26327.80938
-102.0687235,-66.57311932,1024.985004,27177.59515,10018.78028,-27148.0817
-113.7317405,-84.72937032,1017.045591,27916.56535,9944.197442,-26598.88337
-123.4541885,-100.0126973,1018.028318,28166.38885,10107.08094,-26235.39166
-107.9120275,-66.56522032,1027.961217,27500.44723,9538.280336,-27053.99334
-100.0862825,-101.9430393,1021.980716,27514.91328,10826.85269,-26784.58336
-103.0104505,-99.07200632,1022.975654,26958.81466,11787.59709,-26159.02021
-140.0118825,-95.21641732,1020.022293,28336.09045,10430.34008,-25872.88932
-201.3238605,-120.9735443,1011.107991,29678.04197,11889.28467,-23513.45946
-149.7503395,-92.34141432,1018.046816,28102.97067,11313.80804,-25515.03898
-160.4514805,-101.8896613,1018.043652,28759.0225,10996.70826,-24876.0112
-154.5657115,-146.8207163,1016.020689,28529.5891,12282.95849,-24518.65222
-167.2392925,-129.6047323,1015.049834,28857.17006,12124.46376,-24244.30206
-146.7786955,-144.9155553,1017.009914,28122.77612,12601.71856,-24703.6643
-198.3732365,-150.6094033,1008.108099,29524.89149,12693.04375,-23245.04548
-167.2356405,-133.4280483,1015.046606,28775.72623,12043.05972,-24154.66915
-131.2575755,-87.57558132,1022.998272,28007.77221,10508.27837,-26147.14121
-185.7283625,-140.1023113,1014.058252,29986.55477,10523.43587,-24050.58225
-178.9305285,-121.9471443,1015.061642,29016.52398,11803.82279,-24332.65078
-154.5953735,-116.2333813,1017.037692,28760.49705,11157.82117,-24876.20774
-199.3637775,-133.4027613,1009.11425,29440.93059,12531.30388,-23335.9692
-144.8555365,-121.0192353,1020.002734,28677.70545,11318.52773,-25148.17946
-148.7634715,-104.7705253,1015.062342,28430.55164,11155.3133,-25240.68881
-125.4315765,-71.33115932,1024.000494,27675.03033,10102.87792,-26420.80347
-188.6580295,-130.5420893,1013.076481,29110.55316,12286.90603,-23519.50056
-201.2737085,-170.6814943,1005.118953,29295.02606,13737.40401,-22706.73679
-169.2089935,-105.7079883,1014.079722,29955.07973,8349.845577,-25222.18572
-155.5681425,-116.2340823,1015.05578,28758.13261,10996.81857,-24966.33865
-132.1897475,-128.6793503,1018.008122,28102.66542,11475.14156,-25695.89042
-180.8755785,-123.8577833,1014.069741,29177.50507,11563.62797,-24330.77032
-162.4020295,-97.11111132,1015.075042,28911.28309,10193.05949,-25234.75263
-156.5367715,-121.9673363,1016.042563,28842.39876,10997.22492,-24694.56348
-146.8298235,-91.38913132,1017.055106,28829.38139,10353.65573,-25416.39689
-148.7661895,-102.8572533,1017.046314,28916.444,10756.95467,-25235.44054
-101.0891595,-71.35559832,1022.006986,27330.16099,9053.797982,-27325.97169
-102.0317995,-102.8986563,1019.998443,27347.44936,10261.37266,-26695.15363
-144.8765355,-99.03516832,1020.021295,28822.28806,9870.647926,-25686.7896
-121.5273775,-79.93969332,1021.01791,28148.3632,8818.949815,-26866.11144
-113.7326115,-85.68197132,1021.0095,27267.48008,10341.08153,-26605.71728
-111.7976255,-72.30299832,1020.028727,27663.94539,9378.42136,-26871.55626
-96.21987845,-75.17863732,1027.948602,27657.74195,8895.303245,-27051.62152
-84.55153045,-56.07785532,1022.012316,27076.65112,8488.132206,-27688.97203
-122.5151585,-66.55475332,1024.003191,28236.31572,9222.138442,-26594.82764
-115.6757935,-91.41269832,1023.979087,27519.66802,10664.96764,-26152.09467
-96.23266045,-61.79703132,1027.9599,27246.93736,8972.61456,-27416.99368
-106.9374955,-65.61353232,1023.996862,27738.90639,8654.150542,-26869.87899
-143.9097325,-91.39025632,1019.036126,28418.5768,10430.96705,-25781.76905
-106.9351815,-69.43442732,1026.967171,27417.52885,9295.763393,-26964.16389
-123.4869725,-69.41971332,1025.983574,27989.74656,9220.147236,-26777.86099
-104.9951845,-60.83540632,1024.991184,27572.15389,8653.117221,-27232.77442
-88.44751245,-56.07178232,1024.987637,27162.08657,8810.984991,-27598.24485
-123.4701135,-85.67122732,1022.996318,27679.91184,10344.21637,-26150.11594
-129.3280675,-68.46163432,1022.022341,28235.57844,9141.581987,-26594.72937
-117.6313535,-81.85419632,1022.005691,27758.25396,10184.06134,-26329.78147
-104.0214815,-62.74474932,1028.95384,27252.8614,9133.175939,-26965.55298
-150.7130025,-105.7188793,1022.00068,28510.52092,11075.60443,-25330.12517
-147.7970515,-99.98745132,1021.013005,28669.2902,10593.74025,-25327.9499
-104.0201225,-63.70138532,1027.961854,27178.20565,9696.113236,-26786.37881
-94.27854345,-66.58203732,1022.999078,27087.58344,9293.255527,-27328.64496
